RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30
102001,0,United States,Country,,30.0,22.0,20.0,20.0,22.0,24.0,27.0,30.0,34.0,38.0,42.0,39.0,33.0,24.0,22.0,21.0,23.0,25.0,27.0,29.0,32.0,36.0,40.0,36.0,28.0,21.0,20.0,20.0,18.0,16.0,15.0,14.0,15.0,17.0,19.0,17.0,12.0,8.0,7.0,7.0,8.0,9.0,10.0,11.0,11.0,13.0,13.0,11.0,9.0,7.0,7.0,7.0
394913,1,"New York, NY",Msa,NY,46.0,36.0,35.0,36.0,39.0,44.0,48.0,49.0,49.0,51.0,58.0,57.0,50.0,41.0,39.0,40.0,45.0,50.0,54.0,54.0,54.0,58.0,66.0,63.0,53.0,42.0,42.0,39.0,33.0,28.0,29.0,30.0,32.0,36.0,45.0,44.0,37.0,25.0,23.0,23.0,25.0,27.0,30.0,31.0,34.0,36.0,42.0,38.0,31.0,22.0,20.0,21.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,17.0,15.0,16.0,16.0,18.0,21.0,24.0,27.0,30.0,34.0,38.0,36.0,30.0,24.0,22.0,22.0,23.0,24.0,26.0,27.0,28.0,32.0,32.0,27.0,19.0,17.0,18.0,19.0,17.0,16.0,15.0,14.0,14.0,16.0,16.0,15.0,12.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,10.0,11.0,12.0
394463,3,"Chicago, IL",Msa,IL,30.0,19.0,16.0,18.0,21.0,26.0,30.0,34.0,39.0,46.0,53.0,47.0,35.0,23.0,21.0,22.0,26.0,29.0,32.0,35.0,39.0,46.0,51.0,44.0,33.0,26.0,25.0,24.0,19.0,18.0,17.0,17.0,19.0,25.0,28.0,25.0,16.0,9.0,7.0,7.0,8.0,10.0,12.0,15.0,18.0,22.0,23.0,19.0,12.0,7.0,7.0,7.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,28.0,22.0,21.0,22.0,23.0,26.0,29.0,33.0,36.0,39.0,42.0,40.0,36.0,29.0,28.0,28.0,29.0,31.0,34.0,37.0,40.0,43.0,45.0,40.0,34.0,29.0,27.0,27.0,25.0,24.0,23.0,23.0,23.0,23.0,23.0,21.0,18.0,15.0,13.0,13.0,14.0,15.0,16.0,17.0,17.0,18.0,18.0,16.0,12.0,8.0,6.0,6.0
394974,5,"Philadelphia, PA",Msa,PA,34.0,24.0,20.0,20.0,21.0,23.0,24.0,26.0,29.0,34.0,39.0,37.0,29.0,21.0,19.0,21.0,26.0,28.0,29.0,28.0,30.0,35.0,40.0,35.0,26.0,22.0,20.0,20.0,14.0,12.0,14.0,14.0,14.0,15.0,15.0,14.0,10.0,8.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0,13.0,14.0,13.0,10.0,7.0,7.0,7.0
394692,6,"Houston, TX",Msa,TX,30.0,22.0,19.0,20.0,22.0,25.0,30.0,35.0,38.0,41.0,43.0,39.0,32.0,25.0,23.0,23.0,25.0,29.0,33.0,36.0,37.0,39.0,42.0,40.0,34.0,29.0,28.0,28.0,25.0,21.0,20.0,20.0,19.0,19.0,20.0,19.0,15.0,11.0,8.0,8.0,8.0,10.0,12.0,13.0,14.0,14.0,15.0,13.0,11.0,8.0,7.0,7.0
395209,7,"Washington, DC",Msa,DC,37.0,28.0,26.0,24.0,23.0,22.0,23.0,26.0,28.0,32.0,33.0,27.0,18.0,11.0,11.0,13.0,16.0,19.0,20.0,21.0,23.0,29.0,29.0,23.0,13.0,10.0,10.0,11.0,10.0,8.0,10.0,10.0,11.0,10.0,10.0,9.0,6.0,5.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,11.0,8.0,6.0,5.0,5.0,6.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,42.0,39.0,40.0,40.0,39.0,39.0,40.0,41.0,42.0,45.0,49.0,48.0,46.0,44.0,46.0,47.0,45.0,45.0,45.0,44.0,44.0,45.0,49.0,48.0,44.0,41.0,43.0,44.0,41.0,35.0,32.0,30.0,29.0,32.0,37.0,36.0,31.0,23.0,18.0,16.0,15.0,16.0,16.0,16.0,17.0,17.0,18.0,17.0,14.0,11.0,11.0,12.0
394347,9,"Atlanta, GA",Msa,GA,20.0,14.0,13.0,13.0,14.0,16.0,19.0,21.0,23.0,28.0,31.0,29.0,24.0,18.0,17.0,17.0,19.0,21.0,23.0,25.0,27.0,32.0,36.0,34.0,27.0,21.0,20.0,21.0,21.0,19.0,17.0,15.0,15.0,16.0,16.0,13.0,9.0,7.0,6.0,6.0,6.0,7.0,8.0,8.0,9.0,10.0,10.0,9.0,7.0,6.0,6.0,7.0
394404,10,"Boston, MA",Msa,MA,15.0,10.0,9.0,9.0,12.0,14.0,16.0,17.0,21.0,29.0,32.0,29.0,20.0,13.0,11.0,11.0,14.0,17.0,17.0,18.0,21.0,30.0,33.0,27.0,15.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,14.0,14.0,12.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,7.0,6.0,6.0,7.0
395057,11,"San Francisco, CA",Msa,CA,12.0,12.0,12.0,12.0,13.0,14.0,15.0,16.0,19.0,24.0,24.0,21.0,16.0,14.0,14.0,14.0,15.0,16.0,16.0,17.0,18.0,24.0,22.0,20.0,13.0,13.0,13.0,14.0,13.0,12.0,12.0,12.0,12.0,14.0,13.0,12.0,10.0,9.0,9.0,9.0,10.0,11.0,12.0,12.0,12.0,13.0,12.0,11.0,9.0,9.0,10.0,12.0
394532,12,"Detroit, MI",Msa,MI,19.0,12.0,9.0,9.0,10.0,12.0,15.0,19.0,23.0,28.0,33.0,33.0,27.0,18.0,12.0,12.0,14.0,17.0,20.0,23.0,26.0,32.0,38.0,35.0,26.0,20.0,17.0,16.0,10.0,9.0,9.0,9.0,11.0,14.0,17.0,15.0,10.0,6.0,5.0,5.0,6.0,7.0,8.0,10.0,11.0,13.0,12.0,11.0,7.0,5.0,5.0,6.0
